word,frequency
want,819
life,589
kill,406
die,386
suicide,385
people,345
feel,334
will,313
going,309
anymore,281
suicidal,263
know,255
wish,253
think,240
hate,211
end,209
someone,205
tired,202
fucking,200
help,194
live,180
now,176
never,174
better,170
really,167
time,163
please,148
one,146
living,146
day,138
need,136
fuck,134
much,129
years,118
alive,116
even,115
point,114
anyone,112
today,111
world,108
sleep,105
killing,101
keep,100
last,99
tonight,98
thoughts,97
done,95
talk,95
everything,95
death,94
work,90
every,90
take,89
everyone,88
right,85
tried,84
make,84
good,84
way,83
dead,82
stop,81
alone,81
care,81
getting,80
reason,79
nothing,79
feeling,79
see,79
still,79
love,77
shit,77
scared,75
thinking,75
give,72
person,71
thing,71
bad,69
tell,68
friends,67
pain,67
friend,65
say,65
got,65
hope,65
anything,64
ending,63
mom,62
makes,62
things,62
depressed,61
year,61
happy,61
commit,61
attempt,60
actually,60
always,60
enough,59
night,58
family,57
wake,57
lost,57
birthday,54
away,53
finally,52
soon,52
worse,52
old,51
worth,51
nobody,51
told,50
parents,49
try,49
back,49
left,48
ago,48
made,48
might,48
goodbye,47
something,47
without,46
hard,46
depression,45
feels,45
killed,45
plan,45
born,45
mental,45
first,44
failed,44
trying,44
already,44
gets,43
ready,43
thought,43
long,42
job,41
sick,40
find,40
self,40
around,39
god,39
worst,38
hours,38
tomorrow,38
sad,38
best,38
school,38
kms,37
lonely,37
struggling,36
ugly,36
days,36
dying,36
hang,35
gone,35
longer,35
exist,35
everyday,35
cry,34
died,34
literally,33
afraid,33
leave,33
let,33
well,32
giving,32
another,32
stay,32
future,32
reasons,31
ruined,31
next,31
sorry,31
almost,30
wrong,30
week,30
rather,30
attempted,30
hurt,30
money,30
gun,29
wants,29
normal,28
coming,28
come,28
man,28
wanted,27
fucked,27
brain,27
option,27
probably,27
past,26
stupid,26
hell,26
health,26
body,26
others,26
loved,26
new,26
therapist,25
